date,covidCases,BTCUSD
2019-12-05,,7448.3076172
2019-12-06,,7546.996582
2019-12-07,,7556.237793
2019-12-08,,7564.3452148
2019-12-09,,7400.8994141
2019-12-10,,7278.1196289
2019-12-11,,7217.4272461
2019-12-12,,7243.1342773
2019-12-13,,7269.6845703
2019-12-14,,7124.6738281
2019-12-15,,7152.3017578
2019-12-16,,6932.4804688
2019-12-17,,6640.5151367
2019-12-18,,7276.8027344
2019-12-19,,7202.8442383
2019-12-20,,7218.8164062
2019-12-21,,7191.1586914
2019-12-22,,7511.5888672
2019-12-23,,7355.628418
2019-12-24,,7322.5322266
2019-12-25,,7275.1557617
2019-12-26,,7238.9667969
2019-12-27,,7290.0883789
2019-12-28,,7317.9902344
2019-12-29,,7422.652832
2019-12-30,,7292.9951172
2019-12-31,,7193.5991211
2020-01-01,,7200.1743164
2020-01-02,,6985.4702148
2020-01-03,,7344.8842773
2020-01-04,,7410.6567383
2020-01-05,,7411.3173828
2020-01-06,,7769.2192383
2020-01-07,,8163.6923828
2020-01-08,,8079.862793
2020-01-09,,7879.0712891
2020-01-10,,8166.5541992
2020-01-11,,8037.5375977
2020-01-12,,8192.4941406
2020-01-13,,8144.1943359
2020-01-14,,8827.7646484
2020-01-15,,8807.0107422
2020-01-16,,8723.7861328
2020-01-17,,8929.0380859
2020-01-18,,8942.8085938
2020-01-19,,8706.2451172
2020-01-20,,8657.6425781
2020-01-21,1.0,8745.8945312
2020-01-22,1.0,8680.8759766
2020-01-23,1.0,8406.515625
2020-01-24,2.0,8445.4345703
2020-01-25,3.0,8367.8476562
2020-01-26,5.0,8596.8300781
2020-01-27,5.0,8909.8193359
2020-01-28,5.0,9358.5898438
2020-01-29,5.0,9316.6298828
2020-01-30,6.0,9508.9931641
2020-01-31,7.0,9350.5292969
2020-02-01,8.0,9392.875
2020-02-02,11.0,9344.3652344
2020-02-03,11.0,9293.5214844
2020-02-04,11.0,9180.9628906
2020-02-05,12.0,9613.4238281
2020-02-06,12.0,9729.8017578
2020-02-07,12.0,9795.9433594
2020-02-08,12.0,9865.1191406
2020-02-09,12.0,10116.6738281
2020-02-10,13.0,9856.6113281
2020-02-11,13.0,10208.2363281
2020-02-12,14.0,10326.0546875
2020-02-13,15.0,10214.3798828
2020-02-14,15.0,10312.1162109
2020-02-15,15.0,9889.4248047
2020-02-16,15.0,9934.4335938
2020-02-17,25.0,9690.1425781
2020-02-18,25.0,10141.9960938
2020-02-19,25.0,9633.3867188
2020-02-20,27.0,9608.4755859
2020-02-21,30.0,9686.4414062
2020-02-22,30.0,9663.1816406
2020-02-23,30.0,9924.515625
2020-02-24,43.0,9650.1748047
2020-02-25,45.0,9341.7050781
2020-02-26,60.0,8820.5224609
2020-02-27,60.0,8784.4941406
2020-02-28,65.0,8672.4550781
2020-02-29,70.0,8599.5087891
2020-03-01,88.0,8562.4541016
2020-03-02,104.0,8869.6699219
2020-03-03,125.0,8787.7861328
2020-03-04,161.0,8755.2460938
2020-03-05,228.0,9078.7626953
2020-03-06,311.0,9122.5458984
2020-03-07,428.0,8909.9541016
2020-03-08,547.0,8108.1162109
2020-03-09,748.0,7923.6445312
